"Country or Area","Year(s)","Variant","Value"
"Martinique","2015-2020","Medium","9.066"
"Martinique","2010-2015","Medium","8.154"
"Martinique","2005-2010","Medium","7.537"
"Martinique","2000-2005","Medium","7.147"
"Mauritania","2015-2020","Medium","7.268"
"Mauritania","2010-2015","Medium","7.983"
"Mauritania","2005-2010","Medium","8.647"
"Mauritania","2000-2005","Medium","9.167"
"Mauritius","2015-2020","Medium","8.299"
"Mauritius","2010-2015","Medium","7.38"
"Mauritius","2005-2010","Medium","7.11"
"Mauritius","2000-2005","Medium","6.675"
"Mayotte","2015-2020","Medium","2.685"
"Mayotte","2010-2015","Medium","2.482"
"Mayotte","2005-2010","Medium","2.652"
"Mayotte","2000-2005","Medium","2.9"
"Melanesia","2015-2020","Medium","7.211"
"Melanesia","2010-2015","Medium","7.765"
"Melanesia","2005-2010","Medium","8.14"
"Melanesia","2000-2005","Medium","8.668"
"Mexico","2015-2020","Medium","5.974"
"Mexico","2010-2015","Medium","5.525"
"Mexico","2005-2010","Medium","5.025"
"Mexico","2000-2005","Medium","4.671"
"Micronesia","2015-2020","Medium","5.719"
"Micronesia","2010-2015","Medium","5.758"
"Micronesia","2005-2010","Medium","5.853"
"Micronesia","2000-2005","Medium","5.798"
"Micronesia (Fed. States of)","2015-2020","Medium","6.554"
"Micronesia (Fed. States of)","2010-2015","Medium","6.723"
"Micronesia (Fed. States of)","2005-2010","Medium","7.552"
"Micronesia (Fed. States of)","2000-2005","Medium","7.517"
"Middle Africa","2015-2020","Medium","9.513"
"Middle Africa","2010-2015","Medium","10.966"
"Middle Africa","2005-2010","Medium","12.95"
"Middle Africa","2000-2005","Medium","15.2"
"Middle-income countries","2015-2020","Medium","7.257"
"Middle-income countries","2010-2015","Medium","7.356"
"Middle-income countries","2005-2010","Medium","7.704"
"Middle-income countries","2000-2005","Medium","8.025"
"Monaco","2015-2020","Medium",""
"Monaco","2010-2015","Medium",""
"Monaco","2005-2010","Medium",""
"Monaco","2000-2005","Medium",""
"Mongolia","2015-2020","Medium","6.335"
"Mongolia","2010-2015","Medium","6.325"
"Mongolia","2005-2010","Medium","6.861"
"Mongolia","2000-2005","Medium","7.228"
"Montenegro","2015-2020","Medium","10.703"
"Montenegro","2010-2015","Medium","10.097"
"Montenegro","2005-2010","Medium","10.35"
"Montenegro","2000-2005","Medium","9.957"
"Montserrat","2015-2020","Medium",""
"Montserrat","2010-2015","Medium",""
"Montserrat","2005-2010","Medium",""
"Montserrat","2000-2005","Medium",""
"More developed regions","2015-2020","Medium","10.162"
"More developed regions","2010-2015","Medium","9.923"
"More developed regions","2005-2010","Medium","10.034"
"More developed regions","2000-2005","Medium","10.279"
"Morocco","2015-2020","Medium","5.059"
"Morocco","2010-2015","Medium","5.211"
"Morocco","2005-2010","Medium","5.334"
"Morocco","2000-2005","Medium","6.113"
"Mozambique","2015-2020","Medium","8.622"
"Mozambique","2010-2015","Medium","11.626"
"Mozambique","2005-2010","Medium","13.947"
"Mozambique","2000-2005","Medium","15.498"
"Myanmar","2015-2020","Medium","8.19"
"Myanmar","2010-2015","Medium","8.539"
"Myanmar","2005-2010","Medium","9.198"
"Myanmar","2000-2005","Medium","9.663"
"Namibia","2015-2020","Medium","8.238"
"Namibia","2010-2015","Medium","9.499"
"Namibia","2005-2010","Medium","13.078"
"Namibia","2000-2005","Medium","13.762"
"Nauru","2015-2020","Medium",""
"Nauru","2010-2015","Medium",""
"Nauru","2005-2010","Medium",""
"Nauru","2000-2005","Medium",""
"Nepal","2015-2020","Medium","6.39"
"Nepal","2010-2015","Medium","6.655"
"Nepal","2005-2010","Medium","7.06"
"Nepal","2000-2005","Medium","7.847"
"Netherlands","2015-2020","Medium","8.715"
"Netherlands","2010-2015","Medium","8.285"
"Netherlands","2005-2010","Medium","8.243"
"Netherlands","2000-2005","Medium","8.691"
"New Caledonia","2015-2020","Medium","5.72"
"New Caledonia","2010-2015","Medium","5.437"
"New Caledonia","2005-2010","Medium","5.357"
"New Caledonia","2000-2005","Medium","5.346"
"New Zealand","2015-2020","Medium","6.984"
"New Zealand","2010-2015","Medium","6.864"
"New Zealand","2005-2010","Medium","6.833"
"New Zealand","2000-2005","Medium","7.091"
"Nicaragua","2015-2020","Medium","5.061"
"Nicaragua","2010-2015","Medium","5.029"
"Nicaragua","2005-2010","Medium","5.112"
"Nicaragua","2000-2005","Medium","5.157"
"Niger","2015-2020","Medium","8.407"
"Niger","2010-2015","Medium","10.134"
"Niger","2005-2010","Medium","12.779"
"Niger","2000-2005","Medium","15.842"
"Nigeria","2015-2020","Medium","11.965"
"Nigeria","2010-2015","Medium","13.51"
"Nigeria","2005-2010","Medium","15.123"
"Nigeria","2000-2005","Medium","17.298"
"Niue","2015-2020","Medium",""
"Niue","2010-2015","Medium",""
"Niue","2005-2010","Medium",""
"Niue","2000-2005","Medium",""
"No income group available","2015-2020","Medium","6.003"
"No income group available","2010-2015","Medium","5.685"
"No income group available","2005-2010","Medium","5.606"
"No income group available","2000-2005","Medium","5.712"
"North Macedonia","2015-2020","Medium","10.017"
"North Macedonia","2010-2015","Medium","9.611"
"North Macedonia","2005-2010","Medium","9.343"
"North Macedonia","2000-2005","Medium","8.469"
"Northern Africa","2015-2020","Medium","5.762"
"Northern Africa","2010-2015","Medium","5.974"
"Northern Africa","2005-2010","Medium","6.171"
"Northern Africa","2000-2005","Medium","6.536"
"Northern Africa and Western Asia","2015-2020","Medium","5.329"
"Northern Africa and Western Asia","2010-2015","Medium","5.49"
"Northern Africa and Western Asia","2005-2010","Medium","5.69"
"Northern Africa and Western Asia","2000-2005","Medium","6.058"
"Northern America","2015-2020","Medium","8.586"
"Northern America","2010-2015","Medium","8.073"
"Northern America","2005-2010","Medium","8.03"
"Northern America","2000-2005","Medium","8.391"
"Northern America","2015-2020","Medium","8.586"
"Northern America","2010-2015","Medium","8.073"
"Northern America","2005-2010","Medium","8.03"
"Northern America","2000-2005","Medium","8.391"
"Northern Europe","2015-2020","Medium","9.404"
"Northern Europe","2010-2015","Medium","9.215"
"Northern Europe","2005-2010","Medium","9.608"
"Northern Europe","2000-2005","Medium","10.252"
"Northern Mariana Islands","2015-2020","Medium",""
"Northern Mariana Islands","2010-2015","Medium",""
"Northern Mariana Islands","2005-2010","Medium",""
"Northern Mariana Islands","2000-2005","Medium",""
"Norway","2015-2020","Medium","7.998"
"Norway","2010-2015","Medium","8.197"
"Norway","2005-2010","Medium","8.824"
"Norway","2000-2005","Medium","9.538"
"Oceania","2015-2020","Medium","6.776"
"Oceania","2010-2015","Medium","6.86"
"Oceania","2005-2010","Medium","6.961"
"Oceania","2000-2005","Medium","7.186"
"Oceania (excluding Australia and New Zealand)","2015-2020","Medium","7.064"
"Oceania (excluding Australia and New Zealand)","2010-2015","Medium","7.548"
"Oceania (excluding Australia and New Zealand)","2005-2010","Medium","7.857"
"Oceania (excluding Australia and New Zealand)","2000-2005","Medium","8.298"
"Oman","2015-2020","Medium","2.44"
"Oman","2010-2015","Medium","2.687"
"Oman","2005-2010","Medium","2.922"
"Oman","2000-2005","Medium","3.288"
"Pakistan","2015-2020","Medium","6.983"
"Pakistan","2010-2015","Medium","7.287"
"Pakistan","2005-2010","Medium","7.891"
"Pakistan","2000-2005","Medium","8.453"
"Palau","2015-2020","Medium",""
"Palau","2010-2015","Medium",""
"Palau","2005-2010","Medium",""
"Palau","2000-2005","Medium",""
"Panama","2015-2020","Medium","5.06"
"Panama","2010-2015","Medium","4.964"
"Panama","2005-2010","Medium","4.888"
"Panama","2000-2005","Medium","4.799"
"Papua New Guinea","2015-2020","Medium","7.451"
"Papua New Guinea","2010-2015","Medium","8.105"
"Papua New Guinea","2005-2010","Medium","8.605"
"Papua New Guinea","2000-2005","Medium","9.341"
"Paraguay","2015-2020","Medium","5.476"
"Paraguay","2010-2015","Medium","5.409"
"Paraguay","2005-2010","Medium","5.418"
"Paraguay","2000-2005","Medium","5.396"
"Peru","2015-2020","Medium","5.452"
"Peru","2010-2015","Medium","5.312"
"Peru","2005-2010","Medium","5.32"
"Peru","2000-2005","Medium","5.373"
"Philippines","2015-2020","Medium","5.831"
"Philippines","2010-2015","Medium","5.775"
"Philippines","2005-2010","Medium","5.483"
"Philippines","2000-2005","Medium","5.493"
"Poland","2015-2020","Medium","10.089"
"Poland","2010-2015","Medium","9.824"
"Poland","2005-2010","Medium","9.775"
"Poland","2000-2005","Medium","9.427"
"Polynesia","2015-2020","Medium","5.827"
"Polynesia","2010-2015","Medium","5.765"
"Polynesia","2005-2010","Medium","5.616"
"Polynesia","2000-2005","Medium","5.633"
"Portugal","2015-2020","Medium","10.591"
"Portugal","2010-2015","Medium","10.169"
"Portugal","2005-2010","Medium","9.833"
"Portugal","2000-2005","Medium","10.155"
"Puerto Rico","2015-2020","Medium","9.346"
"Puerto Rico","2010-2015","Medium","8.104"
"Puerto Rico","2005-2010","Medium","8.036"
"Puerto Rico","2000-2005","Medium","8.051"
"Qatar","2015-2020","Medium","1.191"
"Qatar","2010-2015","Medium","1.147"
"Qatar","2005-2010","Medium","1.353"
"Qatar","2000-2005","Medium","1.821"
"Republic of Korea","2015-2020","Medium","5.918"
"Republic of Korea","2010-2015","Medium","5.454"
"Republic of Korea","2005-2010","Medium","5.242"
"Republic of Korea","2000-2005","Medium","5.324"
"Republic of Moldova","2015-2020","Medium","11.621"
"Republic of Moldova","2010-2015","Medium","11.354"
"Republic of Moldova","2005-2010","Medium","12.186"
"Republic of Moldova","2000-2005","Medium","11.654"
"Réunion","2015-2020","Medium","6.21"
"Réunion","2010-2015","Medium","5.505"
"Réunion","2005-2010","Medium","5.191"
"Réunion","2000-2005","Medium","5.065"
"Romania","2015-2020","Medium","13.026"
"Romania","2010-2015","Medium","12.381"
"Romania","2005-2010","Medium","12.475"
"Romania","2000-2005","Medium","12.107"
"Russian Federation","2015-2020","Medium","12.719"
"Russian Federation","2010-2015","Medium","13.389"
"Russian Federation","2005-2010","Medium","14.929"
"Russian Federation","2000-2005","Medium","16.031"
"Rwanda","2015-2020","Medium","5.317"
"Rwanda","2010-2015","Medium","6.262"
"Rwanda","2005-2010","Medium","9.052"
"Rwanda","2000-2005","Medium","14.638"
"Saint Helena","2015-2020","Medium",""
"Saint Helena","2010-2015","Medium",""
"Saint Helena","2005-2010","Medium",""
"Saint Helena","2000-2005","Medium",""
"Saint Kitts and Nevis","2015-2020","Medium",""
"Saint Kitts and Nevis","2010-2015","Medium",""
"Saint Kitts and Nevis","2005-2010","Medium",""
"Saint Kitts and Nevis","2000-2005","Medium",""
"Saint Lucia","2015-2020","Medium","7.145"
"Saint Lucia","2010-2015","Medium","6.983"
"Saint Lucia","2005-2010","Medium","6.251"
"Saint Lucia","2000-2005","Medium","6.61"
"Saint Pierre and Miquelon","2015-2020","Medium",""
"Saint Pierre and Miquelon","2010-2015","Medium",""
"Saint Pierre and Miquelon","2005-2010","Medium",""
"Saint Pierre and Miquelon","2000-2005","Medium",""
"Saint Vincent and the Grenadines","2015-2020","Medium","9.246"
"Saint Vincent and the Grenadines","2010-2015","Medium","8.37"
"Saint Vincent and the Grenadines","2005-2010","Medium","7.337"
"Saint Vincent and the Grenadines","2000-2005","Medium","7.327"
"Saint-Barthélemy","2015-2020","Medium",""
"Saint-Barthélemy","2010-2015","Medium",""
"Saint-Barthélemy","2005-2010","Medium",""
"Saint-Barthélemy","2000-2005","Medium",""
"Saint-Martin (French part)","2015-2020","Medium",""
"Saint-Martin (French part)","2010-2015","Medium",""
"Saint-Martin (French part)","2005-2010","Medium",""
"Saint-Martin (French part)","2000-2005","Medium",""
"Samoa","2015-2020","Medium","5.236"
"Samoa","2010-2015","Medium","5.718"
"Samoa","2005-2010","Medium","5.927"
"Samoa","2000-2005","Medium","6.044"
"San Marino","2015-2020","Medium",""
"San Marino","2010-2015","Medium",""
"San Marino","2005-2010","Medium",""
"San Marino","2000-2005","Medium",""
"Sao Tome and Principe","2015-2020","Medium","4.869"
"Sao Tome and Principe","2010-2015","Medium","5.464"
"Sao Tome and Principe","2005-2010","Medium","6.401"
"Sao Tome and Principe","2000-2005","Medium","8.071"
"Saudi Arabia","2015-2020","Medium","3.47"
"Saudi Arabia","2010-2015","Medium","3.409"
"Saudi Arabia","2005-2010","Medium","3.54"
"Saudi Arabia","2000-2005","Medium","3.605"
"Senegal","2015-2020","Medium","5.806"
"Senegal","2010-2015","Medium","6.625"
"Senegal","2005-2010","Medium","8.149"
"Senegal","2000-2005","Medium","10.056"
"Serbia","2015-2020","Medium","13.172"
"Serbia","2010-2015","Medium","13.021"
"Serbia","2005-2010","Medium","12.752"
"Serbia","2000-2005","Medium","12.246"
"Seychelles","2015-2020","Medium","7.786"
"Seychelles","2010-2015","Medium","7.444"
"Seychelles","2005-2010","Medium","7.083"
"Seychelles","2000-2005","Medium","7.394"
"Sierra Leone","2015-2020","Medium","11.913"
"Sierra Leone","2010-2015","Medium","13.715"
"Sierra Leone","2005-2010","Medium","17.144"
"Sierra Leone","2000-2005","Medium","21.246"
"Singapore","2015-2020","Medium","4.448"
"Singapore","2010-2015","Medium","4.154"
"Singapore","2005-2010","Medium","3.971"
"Singapore","2000-2005","Medium","4.42"
"Sint Maarten (Dutch part)","2015-2020","Medium",""
"Sint Maarten (Dutch part)","2010-2015","Medium",""
"Sint Maarten (Dutch part)","2005-2010","Medium",""
"Sint Maarten (Dutch part)","2000-2005","Medium",""
"Slovakia","2015-2020","Medium","9.869"
"Slovakia","2010-2015","Medium","9.714"
"Slovakia","2005-2010","Medium","9.886"
"Slovakia","2000-2005","Medium","9.727"
"Slovenia","2015-2020","Medium","9.939"
"Slovenia","2010-2015","Medium","9.369"
"Slovenia","2005-2010","Medium","9.228"
"Slovenia","2000-2005","Medium","9.521"
"Small Island Developing States (SIDS)","2015-2020","Medium","7.343"
"Small Island Developing States (SIDS)","2010-2015","Medium","7.338"
"Small Island Developing States (SIDS)","2005-2010","Medium","7.409"
"Small Island Developing States (SIDS)","2000-2005","Medium","7.709"
"Solomon Islands","2015-2020","Medium","4.26"
"Solomon Islands","2010-2015","Medium","4.557"
"Solomon Islands","2005-2010","Medium","4.956"
"Solomon Islands","2000-2005","Medium","5.289"
"Somalia","2015-2020","Medium","10.935"
"Somalia","2010-2015","Medium","12.216"
"Somalia","2005-2010","Medium","13.539"
"Somalia","2000-2005","Medium","14.899"
"South Africa","2015-2020","Medium","9.52"
"South Africa","2010-2015","Medium","10.454"
"South Africa","2005-2010","Medium","13.55"
"South Africa","2000-2005","Medium","13.502"
"South America","2015-2020","Medium","6.357"
"South America","2010-2015","Medium","6.106"
"South America","2005-2010","Medium","6.016"
"South America","2000-2005","Medium","6.071"
"South Sudan","2015-2020","Medium","10.561"
"South Sudan","2010-2015","Medium","11.255"
"South Sudan","2005-2010","Medium","12.947"
"South Sudan","2000-2005","Medium","15.188"
"South-Eastern Asia","2015-2020","Medium","6.494"
"South-Eastern Asia","2010-2015","Medium","6.456"
"South-Eastern Asia","2005-2010","Medium","6.599"
"South-Eastern Asia","2000-2005","Medium","6.919"
"Southern Africa","2015-2020","Medium","9.498"
"Southern Africa","2010-2015","Medium","10.604"
"Southern Africa","2005-2010","Medium","13.781"
"Southern Africa","2000-2005","Medium","13.808"
"Southern Asia","2015-2020","Medium","6.928"
"Southern Asia","2010-2015","Medium","6.996"
"Southern Asia","2005-2010","Medium","7.521"
"Southern Asia","2000-2005","Medium","8.071"
"Southern Europe","2015-2020","Medium","10.219"
"Southern Europe","2010-2015","Medium","9.766"
"Southern Europe","2005-2010","Medium","9.507"
"Southern Europe","2000-2005","Medium","9.544"
"Spain","2015-2020","Medium","9.017"
"Spain","2010-2015","Medium","8.481"
"Spain","2005-2010","Medium","8.473"
"Spain","2000-2005","Medium","8.8"
"Sri Lanka","2015-2020","Medium","6.616"
"Sri Lanka","2010-2015","Medium","6.166"
"Sri Lanka","2005-2010","Medium","5.947"
"Sri Lanka","2000-2005","Medium","5.885"
"State of Palestine","2015-2020","Medium","3.464"
"State of Palestine","2010-2015","Medium","3.513"
"State of Palestine","2005-2010","Medium","3.528"
"State of Palestine","2000-2005","Medium","3.687"
"Sub-Saharan Africa","2015-2020","Medium","8.742"
"Sub-Saharan Africa","2010-2015","Medium","10.123"
"Sub-Saharan Africa","2005-2010","Medium","12.263"
"Sub-Saharan Africa","2000-2005","Medium","14.511"
"Sudan","2015-2020","Medium","7.243"
"Sudan","2010-2015","Medium","7.703"
"Sudan","2005-2010","Medium","8.638"
"Sudan","2000-2005","Medium","9.724"
"Suriname","2015-2020","Medium","7.321"
"Suriname","2010-2015","Medium","7.057"
"Suriname","2005-2010","Medium","7.078"
"Suriname","2000-2005","Medium","7.496"
"Sustainable Development Goal (SDG) regions","2015-2020","Medium",""
"Sustainable Development Goal (SDG) regions","2010-2015","Medium",""
"Sustainable Development Goal (SDG) regions","2005-2010","Medium",""
"Sustainable Development Goal (SDG) regions","2000-2005","Medium",""
"Sweden","2015-2020","Medium","9.185"
"Sweden","2010-2015","Medium","9.452"
"Sweden","2005-2010","Medium","9.946"
"Sweden","2000-2005","Medium","10.461"
"Switzerland","2015-2020","Medium","8.011"
"Switzerland","2010-2015","Medium","8.078"
"Switzerland","2005-2010","Medium","8.05"
"Switzerland","2000-2005","Medium","8.506"
"Syrian Arab Republic","2015-2020","Medium","5.522"
"Syrian Arab Republic","2010-2015","Medium","5.51"
"Syrian Arab Republic","2005-2010","Medium","3.495"
"Syrian Arab Republic","2000-2005","Medium","3.634"
"Tajikistan","2015-2020","Medium","4.897"
"Tajikistan","2010-2015","Medium","5.545"
"Tajikistan","2005-2010","Medium","6.057"
"Tajikistan","2000-2005","Medium","7.368"
"Thailand","2015-2020","Medium","7.608"
"Thailand","2010-2015","Medium","7.261"
"Thailand","2005-2010","Medium","7.157"
"Thailand","2000-2005","Medium","7.044"
"Timor-Leste","2015-2020","Medium","6.029"
"Timor-Leste","2010-2015","Medium","6.372"
"Timor-Leste","2005-2010","Medium","6.95"
"Timor-Leste","2000-2005","Medium","9.329"
"Togo","2015-2020","Medium","8.559"
"Togo","2010-2015","Medium","9.3"
"Togo","2005-2010","Medium","11.135"
"Togo","2000-2005","Medium","12.477"
"Tokelau","2015-2020","Medium",""
"Tokelau","2010-2015","Medium",""
"Tokelau","2005-2010","Medium",""
"Tokelau","2000-2005","Medium",""
"Tonga","2015-2020","Medium","7.187"
"Tonga","2010-2015","Medium","7.228"
"Tonga","2005-2010","Medium","7.091"
"Tonga","2000-2005","Medium","6.881"
"Trinidad and Tobago","2015-2020","Medium","8.316"
"Trinidad and Tobago","2010-2015","Medium","7.903"
"Trinidad and Tobago","2005-2010","Medium","7.69"
"Trinidad and Tobago","2000-2005","Medium","7.609"
"Tunisia","2015-2020","Medium","6.258"
"Tunisia","2010-2015","Medium","6.303"
"Tunisia","2005-2010","Medium","6.027"
"Tunisia","2000-2005","Medium","5.683"
"Turkey","2015-2020","Medium","5.398"
"Turkey","2010-2015","Medium","5.507"
"Turkey","2005-2010","Medium","5.913"
"Turkey","2000-2005","Medium","6.163"
"Turkmenistan","2015-2020","Medium","7.05"
"Turkmenistan","2010-2015","Medium","7.175"
"Turkmenistan","2005-2010","Medium","7.291"
"Turkmenistan","2000-2005","Medium","7.667"
"Turks and Caicos Islands","2015-2020","Medium",""
"Turks and Caicos Islands","2010-2015","Medium",""
"Turks and Caicos Islands","2005-2010","Medium",""
"Turks and Caicos Islands","2000-2005","Medium",""
"Tuvalu","2015-2020","Medium",""
"Tuvalu","2010-2015","Medium",""
"Tuvalu","2005-2010","Medium",""
"Tuvalu","2000-2005","Medium",""
"Uganda","2015-2020","Medium","6.652"
"Uganda","2010-2015","Medium","8.378"
"Uganda","2005-2010","Medium","11.186"
"Uganda","2000-2005","Medium","14.443"
"Ukraine","2015-2020","Medium","15.191"
"Ukraine","2010-2015","Medium","15.242"
"Ukraine","2005-2010","Medium","16.271"
"Ukraine","2000-2005","Medium","15.854"
"UN development groups","2015-2020","Medium",""
"UN development groups","2010-2015","Medium",""
"UN development groups","2005-2010","Medium",""
"UN development groups","2000-2005","Medium",""
"United Arab Emirates","2015-2020","Medium","1.453"
"United Arab Emirates","2010-2015","Medium","1.372"
"United Arab Emirates","2005-2010","Medium","1.488"
"United Arab Emirates","2000-2005","Medium","1.747"
"United Kingdom","2015-2020","Medium","9.382"
"United Kingdom","2010-2015","Medium","9.044"
"United Kingdom","2005-2010","Medium","9.367"
"United Kingdom","2000-2005","Medium","10.186"
"United Republic of Tanzania","2015-2020","Medium","6.503"
"United Republic of Tanzania","2010-2015","Medium","8.088"
"United Republic of Tanzania","2005-2010","Medium","10.425"
"United Republic of Tanzania","2000-2005","Medium","12.542"
"United States of America","2015-2020","Medium","8.685"
"United States of America","2010-2015","Medium","8.159"
"United States of America","2005-2010","Medium","8.124"
"United States of America","2000-2005","Medium","8.52"
"United States Virgin Islands","2015-2020","Medium","8.469"
"United States Virgin Islands","2010-2015","Medium","7.475"
"United States Virgin Islands","2005-2010","Medium","7.215"
"United States Virgin Islands","2000-2005","Medium","6.407"
"Upper-middle-income countries","2015-2020","Medium","7.175"
"Upper-middle-income countries","2010-2015","Medium","7.134"
"Upper-middle-income countries","2005-2010","Medium","7.238"
"Upper-middle-income countries","2000-2005","Medium","7.226"
"Uruguay","2015-2020","Medium","9.465"
"Uruguay","2010-2015","Medium","9.401"
"Uruguay","2005-2010","Medium","9.275"
"Uruguay","2000-2005","Medium","9.405"
"Uzbekistan","2015-2020","Medium","5.772"
"Uzbekistan","2010-2015","Medium","6.186"
"Uzbekistan","2005-2010","Medium","6.215"
"Uzbekistan","2000-2005","Medium","6.407"
"Vanuatu","2015-2020","Medium","5.301"
"Vanuatu","2010-2015","Medium","5.547"
"Vanuatu","2005-2010","Medium","5.516"
"Vanuatu","2000-2005","Medium","5.822"
"Venezuela (Bolivarian Republic of)","2015-2020","Medium","6.953"
"Venezuela (Bolivarian Republic of)","2010-2015","Medium","5.851"
"Venezuela (Bolivarian Republic of)","2005-2010","Medium","5.393"
"Venezuela (Bolivarian Republic of)","2000-2005","Medium","5.119"
"Viet Nam","2015-2020","Medium","6.29"
"Viet Nam","2010-2015","Medium","5.97"
"Viet Nam","2005-2010","Medium","5.694"
"Viet Nam","2000-2005","Medium","5.661"
"Wallis and Futuna Islands","2015-2020","Medium",""
"Wallis and Futuna Islands","2010-2015","Medium",""
"Wallis and Futuna Islands","2005-2010","Medium",""
"Wallis and Futuna Islands","2000-2005","Medium",""
"Western Africa","2015-2020","Medium","10.295"
"Western Africa","2010-2015","Medium","11.701"
"Western Africa","2005-2010","Medium","13.382"
"Western Africa","2000-2005","Medium","15.557"
"Western Asia","2015-2020","Medium","4.951"
"Western Asia","2010-2015","Medium","5.068"
"Western Asia","2005-2010","Medium","5.262"
"Western Asia","2000-2005","Medium","5.619"
"Western Europe","2015-2020","Medium","10.023"
"Western Europe","2010-2015","Medium","9.694"
"Western Europe","2005-2010","Medium","9.409"
"Western Europe","2000-2005","Medium","9.6"
"Western Sahara","2015-2020","Medium","4.918"
"Western Sahara","2010-2015","Medium","5.079"
"Western Sahara","2005-2010","Medium","5.584"
"Western Sahara","2000-2005","Medium","6.423"
"World","2015-2020","Medium","7.546"
"World","2010-2015","Medium","7.667"
"World","2005-2010","Medium","8.045"
"World","2000-2005","Medium","8.454"
"World Bank income groups","2015-2020","Medium",""
"World Bank income groups","2010-2015","Medium",""
"World Bank income groups","2005-2010","Medium",""
"World Bank income groups","2000-2005","Medium",""
"Yemen","2015-2020","Medium","6.006"
"Yemen","2010-2015","Medium","6.013"
"Yemen","2005-2010","Medium","6.583"
"Yemen","2000-2005","Medium","8"
"Zambia","2015-2020","Medium","6.576"
"Zambia","2010-2015","Medium","8.287"
"Zambia","2005-2010","Medium","12.184"
"Zambia","2000-2005","Medium","16.318"
"Zimbabwe","2015-2020","Medium","8.074"
"Zimbabwe","2010-2015","Medium","10.194"
"Zimbabwe","2005-2010","Medium","16.915"
"Zimbabwe","2000-2005","Medium","17.485"

