Female,Number recovered,Country,Male,Number of cases currently hospitalised,Case fatality ratio (%),Number of deaths,Date of last report,Date for which cumulative number of cases is current,Number of new cases since last WHO update,Local transmission,Date onset first probable case,Cumulative number of cases,report date,Number of imported cases,percentage of imported cases,Number of HCW affected,percentage of HCW affected,median age,minimum age,maximum age
,7178.0,Total,,,,804.0,,,2.0,,,8462.0,2003-06-19,,,,,,,
,5.0,Australia,,,,0.0,2003-05-12,2003-06-13,0.0,,,5.0,2003-06-20,,,,,,,
,2.0,Brazil,,,,0.0,2003-06-09,2003-06-09,0.0,,,3.0,2003-06-20,,,,,,,
,180.0,Canada,,,,34.0,2003-06-16,2003-06-19,0.0,,,245.0,2003-06-20,,,,,,,
,4806.0,China,,,,347.0,2003-06-11,2003-06-20,0.0,,,5326.0,2003-06-20,,,,,,,
,1403.0,Hong Kong,,,,296.0,2003-06-11,2003-06-20,0.0,,,1755.0,2003-06-20,,,,,,,
,1.0,Macao,,,,0.0,2003-05-21,2003-06-18,0.0,,,1.0,2003-06-20,,,,,,,
,480.0,Taiwan,,,,84.0,2003-06-19,2003-06-20,0.0,,,695.0,2003-06-20,,,,,,,
,1.0,Colombia,,,,0.0,2003-05-05,2003-05-05,0.0,,,1.0,2003-06-20,,,,,,,
,1.0,Finland,,,,0.0,2003-05-07,2003-05-20,0.0,,,1.0,2003-06-20,,,,,,,
,6.0,France,,,,0.0,2003-05-09,2003-05-22,0.0,,,7.0,2003-06-20,,,,,,,
,9.0,Germany,,,,0.0,2003-06-04,2003-06-19,0.0,,,10.0,2003-06-20,,,,,,,
,3.0,India,,,,0.0,2003-05-13,2003-05-14,0.0,,,3.0,2003-06-20,,,,,,,
,2.0,Indonesia,,,,0.0,2003-04-23,2003-06-19,0.0,,,2.0,2003-06-20,,,,,,,
,9.0,Italy,,,,0.0,2003-04-29,2003-06-19,0.0,,,9.0,2003-06-20,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-09,2003-04-20,0.0,,,1.0,2003-06-20,,,,,,,
,3.0,Malaysia,,,,2.0,2003-05-20,2003-06-19,0.0,,,5.0,2003-06-20,,,,,,,
,9.0,Mongolia,,,,0.0,2003-05-06,2003-06-02,0.0,,,9.0,2003-06-20,,,,,,,
,1.0,New Zealand,,,,0.0,2003-04-30,2003-06-19,0.0,,,1.0,2003-06-20,,,,,,,
,12.0,Philippines,,,,2.0,2003-05-15,2003-06-20,0.0,,,14.0,2003-06-20,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-03-21,2003-06-12,0.0,,,1.0,2003-06-20,,,,,,,
,3.0,Republic of Korea,,,,0.0,2003-05-14,2003-06-20,0.0,,,3.0,2003-06-20,,,,,,,
,1.0,Romania,,,,0.0,2003-03-27,2003-04-22,0.0,,,1.0,2003-06-20,,,,,,,
,0.0,Russian Federation,,,,0.0,2003-05-31,2003-05-31,0.0,,,1.0,2003-06-20,,,,,,,
,170.0,Singapore,,,,31.0,2003-05-18,2003-06-18,0.0,,,206.0,2003-06-20,,,,,,,
,0.0,South Africa,,,,1.0,2003-04-09,2003-05-03,0.0,,,1.0,2003-06-20,,,,,,,
,1.0,Spain,,,,0.0,2003-04-02,2003-06-05,0.0,,,1.0,2003-06-20,,,,,,,
,3.0,Sweden,,,,0.0,2003-04-18,2003-05-13,0.0,,,3.0,2003-06-20,,,,,,,
,1.0,Switzerland,,,,0.0,2003-03-17,2003-05-16,0.0,,,1.0,2003-06-20,,,,,,,
,6.0,Thailand,,,,2.0,2003-06-07,2003-06-19,0.0,,,9.0,2003-06-20,,,,,,,
,4.0,United Kingdom,,,,0.0,2003-04-29,2003-06-20,0.0,,,4.0,2003-06-20,,,,,,,
,36.0,United States,,,,0.0,2003-06-17,2003-06-19,0.0,,,74.0,2003-06-20,,,,,,,
,58.0,Viet Nam,,,,5.0,2003-04-14,2003-06-07,0.0,,,63.0,2003-06-20,,,,,,,
,7218.0,Total,,,,804.0,,,0.0,,,8461.0,2003-06-20,,,,,,,
,5.0,Australia,,,,0.0,2003-05-12,2003-06-13,0.0,,,5.0,2003-06-23,,,,,,,
,2.0,Brazil,,,,0.0,2003-06-09,2003-06-09,0.0,,,3.0,2003-06-23,,,,,,,
,182.0,Canada,,,,35.0,2003-06-20,2003-06-20,1.0,,,246.0,2003-06-23,,,,,,,
,4895.0,China,,,,347.0,2003-06-11,2003-06-23,0.0,,,5326.0,2003-06-23,,,,,,,
,1411.0,Hong Kong,,,,296.0,2003-06-11,2003-06-23,0.0,,,1755.0,2003-06-23,,,,,,,
,1.0,Macao,,,,0.0,2003-05-21,2003-06-23,0.0,,,1.0,2003-06-23,,,,,,,
,486.0,Taiwan,,,,84.0,2003-06-19,2003-06-21,0.0,,,692.0,2003-06-23,,,,,,,
,1.0,Colombia,,,,0.0,2003-05-05,2003-05-05,0.0,,,1.0,2003-06-23,,,,,,,
,1.0,Finland,,,,0.0,2003-05-07,2003-05-20,0.0,,,1.0,2003-06-23,,,,,,,
,6.0,France,,,,0.0,2003-05-09,2003-05-22,0.0,,,7.0,2003-06-23,,,,,,,
,9.0,Germany,,,,0.0,2003-06-04,2003-06-23,0.0,,,10.0,2003-06-23,,,,,,,
,3.0,India,,,,0.0,2003-05-13,2003-05-14,0.0,,,3.0,2003-06-23,,,,,,,
,2.0,Indonesia,,,,0.0,2003-04-23,2003-06-19,0.0,,,2.0,2003-06-23,,,,,,,
,9.0,Italy,,,,0.0,2003-04-29,2003-06-23,0.0,,,9.0,2003-06-23,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-09,2003-04-20,0.0,,,1.0,2003-06-23,,,,,,,
,3.0,Malaysia,,,,2.0,2003-05-20,2003-06-20,0.0,,,5.0,2003-06-23,,,,,,,
,9.0,Mongolia,,,,0.0,2003-05-06,2003-06-02,0.0,,,9.0,2003-06-23,,,,,,,
,1.0,New Zealand,,,,0.0,2003-04-30,2003-06-19,0.0,,,1.0,2003-06-23,,,,,,,
,12.0,Philippines,,,,2.0,2003-05-15,2003-06-23,0.0,,,14.0,2003-06-23,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-03-21,2003-06-12,0.0,,,1.0,2003-06-23,,,,,,,
,3.0,Republic of Korea,,,,0.0,2003-05-14,2003-06-23,0.0,,,3.0,2003-06-23,,,,,,,
,1.0,Romania,,,,0.0,2003-03-27,2003-04-22,0.0,,,1.0,2003-06-23,,,,,,,
,0.0,Russian Federation,,,,0.0,2003-05-31,2003-05-31,0.0,,,1.0,2003-06-23,,,,,,,
,170.0,Singapore,,,,31.0,2003-05-18,2003-06-18,0.0,,,206.0,2003-06-23,,,,,,,
,0.0,South Africa,,,,1.0,2003-04-09,2003-05-03,0.0,,,1.0,2003-06-23,,,,,,,
,1.0,Spain,,,,0.0,2003-04-02,2003-06-05,0.0,,,1.0,2003-06-23,,,,,,,
,3.0,Sweden,,,,0.0,2003-04-18,2003-05-13,0.0,,,3.0,2003-06-23,,,,,,,
,1.0,Switzerland,,,,0.0,2003-03-17,2003-05-16,0.0,,,1.0,2003-06-23,,,,,,,
,7.0,Thailand,,,,2.0,2003-06-07,2003-06-22,0.0,,,9.0,2003-06-23,,,,,,,
,4.0,United Kingdom,,,,0.0,2003-04-29,2003-06-23,0.0,,,4.0,2003-06-23,,,,,,,
,36.0,United States,,,,0.0,2003-06-17,2003-06-20,1.0,,,74.0,2003-06-23,,,,,,,
,58.0,Viet Nam,,,,5.0,2003-04-14,2003-06-07,0.0,,,63.0,2003-06-23,,,,,,,
,7324.0,Total,,,,805.0,,,2.0,,,8459.0,2003-06-23,,,,,,,
,5.0,Australia,,,,0.0,2003-05-12,2003-06-13,0.0,,,5.0,2003-06-24,,,,,,,
,2.0,Brazil,,,,0.0,2003-06-09,2003-06-09,0.0,,,3.0,2003-06-24,,,,,,,
,188.0,Canada,,,,37.0,2003-06-23,2003-06-23,3.0,,,249.0,2003-06-24,,,,,,,
,4901.0,China,,,,347.0,2003-06-11,2003-06-24,0.0,,,5326.0,2003-06-24,,,,,,,
,1417.0,Hong Kong,,,,296.0,2003-06-11,2003-06-24,0.0,,,1755.0,2003-06-24,,,,,,,
,1.0,Macao,,,,0.0,2003-05-21,2003-06-23,0.0,,,1.0,2003-06-24,,,,,,,
,492.0,Taiwan,,,,84.0,2003-06-19,2003-06-24,0.0,,,687.0,2003-06-24,,,,,,,
,1.0,Colombia,,,,0.0,2003-05-05,2003-05-05,0.0,,,1.0,2003-06-24,,,,,,,
,1.0,Finland,,,,0.0,2003-05-07,2003-05-20,0.0,,,1.0,2003-06-24,,,,,,,
,6.0,France,,,,0.0,2003-05-09,2003-05-22,0.0,,,7.0,2003-06-24,,,,,,,
,9.0,Germany,,,,0.0,2003-06-04,2003-06-23,0.0,,,10.0,2003-06-24,,,,,,,
,3.0,India,,,,0.0,2003-05-13,2003-05-14,0.0,,,3.0,2003-06-24,,,,,,,
,2.0,Indonesia,,,,0.0,2003-04-23,2003-06-19,0.0,,,2.0,2003-06-24,,,,,,,
,9.0,Italy,,,,0.0,2003-04-29,2003-06-24,0.0,,,9.0,2003-06-24,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-09,2003-04-20,0.0,,,1.0,2003-06-24,,,,,,,
,3.0,Malaysia,,,,2.0,2003-05-20,2003-06-23,0.0,,,5.0,2003-06-24,,,,,,,
,9.0,Mongolia,,,,0.0,2003-05-06,2003-06-02,0.0,,,9.0,2003-06-24,,,,,,,
,1.0,New Zealand,,,,0.0,2003-04-30,2003-06-19,0.0,,,1.0,2003-06-24,,,,,,,
,12.0,Philippines,,,,2.0,2003-05-15,2003-06-24,0.0,,,14.0,2003-06-24,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-03-21,2003-06-12,0.0,,,1.0,2003-06-24,,,,,,,
,3.0,Republic of Korea,,,,0.0,2003-05-14,2003-06-23,0.0,,,3.0,2003-06-24,,,,,,,
,1.0,Romania,,,,0.0,2003-03-27,2003-04-22,0.0,,,1.0,2003-06-24,,,,,,,
,0.0,Russian Federation,,,,0.0,2003-05-31,2003-05-31,0.0,,,1.0,2003-06-24,,,,,,,
,170.0,Singapore,,,,31.0,2003-05-18,2003-06-18,0.0,,,206.0,2003-06-24,,,,,,,
,0.0,South Africa,,,,1.0,2003-04-09,2003-05-03,0.0,,,1.0,2003-06-24,,,,,,,
,1.0,Spain,,,,0.0,2003-04-02,2003-06-05,0.0,,,1.0,2003-06-24,,,,,,,
,3.0,Sweden,,,,0.0,2003-04-18,2003-05-13,0.0,,,3.0,2003-06-24,,,,,,,
,1.0,Switzerland,,,,0.0,2003-03-17,2003-05-16,0.0,,,1.0,2003-06-24,,,,,,,
,7.0,Thailand,,,,2.0,2003-06-07,2003-06-23,0.0,,,9.0,2003-06-24,,,,,,,
,4.0,United Kingdom,,,,0.0,2003-04-29,2003-06-23,0.0,,,4.0,2003-06-24,,,,,,,
,36.0,United States,,,,0.0,2003-06-17,2003-06-23,1.0,,,75.0,2003-06-24,,,,,,,
,58.0,Viet Nam,,,,5.0,2003-04-14,2003-06-07,0.0,,,63.0,2003-06-24,,,,,,,
,7348.0,Total,,,,807.0,,,4.0,,,8458.0,2003-06-24,,,,,,,
,5.0,Australia,,,,0.0,2003-05-12,2003-06-13,0.0,,,5.0,2003-06-25,,,,,,,
,2.0,Brazil,,,,0.0,2003-06-09,2003-06-09,0.0,,,3.0,2003-06-25,,,,,,,
,188.0,Canada,,,,37.0,2003-06-24,2003-06-24,1.0,,,250.0,2003-06-25,,,,,,,
,4916.0,China,,,,348.0,2003-06-25,2003-06-25,1.0,,,5327.0,2003-06-25,,,,,,,
,1419.0,Hong Kong,,,,296.0,2003-06-11,2003-06-25,0.0,,,1755.0,2003-06-25,,,,,,,
,1.0,Macao,,,,0.0,2003-05-21,2003-06-23,0.0,,,1.0,2003-06-25,,,,,,,
,492.0,Taiwan,,,,84.0,2003-06-19,2003-06-25,0.0,,,686.0,2003-06-25,,,,,,,
,1.0,Colombia,,,,0.0,2003-05-05,2003-05-05,0.0,,,1.0,2003-06-25,,,,,,,
,1.0,Finland,,,,0.0,2003-05-07,2003-05-20,0.0,,,1.0,2003-06-25,,,,,,,
,6.0,France,,,,0.0,2003-05-09,2003-05-22,0.0,,,7.0,2003-06-25,,,,,,,
,9.0,Germany,,,,0.0,2003-06-04,2003-06-23,0.0,,,10.0,2003-06-25,,,,,,,
,3.0,India,,,,0.0,2003-05-13,2003-05-14,0.0,,,3.0,2003-06-25,,,,,,,
,2.0,Indonesia,,,,0.0,2003-04-23,2003-06-19,0.0,,,2.0,2003-06-25,,,,,,,
,9.0,Italy,,,,0.0,2003-04-29,2003-06-25,0.0,,,9.0,2003-06-25,,,,,,,
,0.0,Japan,,,,0.0,2003-06-25,2003-06-25,1.0,,,1.0,2003-06-25,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-09,2003-04-20,0.0,,,1.0,2003-06-25,,,,,,,
,3.0,Malaysia,,,,2.0,2003-05-20,2003-06-23,0.0,,,5.0,2003-06-25,,,,,,,
,9.0,Mongolia,,,,0.0,2003-05-06,2003-06-02,0.0,,,9.0,2003-06-25,,,,,,,
,1.0,New Zealand,,,,0.0,2003-04-30,2003-06-25,0.0,,,1.0,2003-06-25,,,,,,,
,12.0,Philippines,,,,2.0,2003-05-15,2003-06-25,0.0,,,14.0,2003-06-25,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-03-21,2003-06-12,0.0,,,1.0,2003-06-25,,,,,,,
,3.0,Republic of Korea,,,,0.0,2003-05-14,2003-06-23,0.0,,,3.0,2003-06-25,,,,,,,
,1.0,Romania,,,,0.0,2003-03-27,2003-04-22,0.0,,,1.0,2003-06-25,,,,,,,
,0.0,Russian Federation,,,,0.0,2003-05-31,2003-05-31,0.0,,,1.0,2003-06-25,,,,,,,
,170.0,Singapore,,,,31.0,2003-05-18,2003-06-18,0.0,,,206.0,2003-06-25,,,,,,,
,0.0,South Africa,,,,1.0,2003-04-09,2003-05-03,0.0,,,1.0,2003-06-25,,,,,,,
,1.0,Spain,,,,0.0,2003-04-02,2003-06-05,0.0,,,1.0,2003-06-25,,,,,,,
,3.0,Sweden,,,,0.0,2003-04-18,2003-05-13,0.0,,,3.0,2003-06-25,,,,,,,
,1.0,Switzerland,,,,0.0,2003-03-17,2003-05-16,0.0,,,1.0,2003-06-25,,,,,,,
,7.0,Thailand,,,,2.0,2003-06-07,2003-06-24,0.0,,,9.0,2003-06-25,,,,,,,
,4.0,United Kingdom,,,,0.0,2003-04-29,2003-06-25,0.0,,,4.0,2003-06-25,,,,,,,
,36.0,United States,,,,0.0,2003-06-23,2003-06-24,0.0,,,75.0,2003-06-25,,,,,,,
,58.0,Viet Nam,,,,5.0,2003-04-14,2003-06-07,0.0,,,63.0,2003-06-25,,,,,,,
,7365.0,Total,,,,808.0,,,3.0,,,8460.0,2003-06-25,,,,,,,
,5.0,Australia,,,,0.0,2003-05-12,2003-06-13,0.0,,,5.0,2003-06-26,,,,,,,
,2.0,Brazil,,,,0.0,2003-06-09,2003-06-09,0.0,,,3.0,2003-06-26,,,,,,,
,190.0,Canada,,,,37.0,2003-06-25,2003-06-25,1.0,,,251.0,2003-06-26,,,,,,,
,4921.0,China,,,,348.0,2003-06-25,2003-06-26,0.0,,,5327.0,2003-06-26,,,,,,,
,1419.0,Hong Kong,,,,296.0,2003-06-11,2003-06-26,0.0,,,1755.0,2003-06-26,,,,,,,
,1.0,Macao,,,,0.0,2003-05-21,2003-06-23,0.0,,,1.0,2003-06-26,,,,,,,
,491.0,Taiwan,,,,84.0,2003-06-19,2003-06-26,0.0,,,682.0,2003-06-26,,,,,,,
,1.0,Colombia,,,,0.0,2003-05-05,2003-05-05,0.0,,,1.0,2003-06-26,,,,,,,
,1.0,Finland,,,,0.0,2003-05-07,2003-05-20,0.0,,,1.0,2003-06-26,,,,,,,
,6.0,France,,,,0.0,2003-05-09,2003-05-22,0.0,,,7.0,2003-06-26,,,,,,,
,9.0,Germany,,,,0.0,2003-06-04,2003-06-23,0.0,,,10.0,2003-06-26,,,,,,,
,3.0,India,,,,0.0,2003-05-13,2003-05-14,0.0,,,3.0,2003-06-26,,,,,,,
,2.0,Indonesia,,,,0.0,2003-04-23,2003-06-19,0.0,,,2.0,2003-06-26,,,,,,,
,9.0,Italy,,,,0.0,2003-04-29,2003-06-25,0.0,,,9.0,2003-06-26,,,,,,,
,0.0,Japan,,,,0.0,2003-06-25,2003-06-26,0.0,,,1.0,2003-06-26,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-09,2003-04-20,0.0,,,1.0,2003-06-26,,,,,,,
,3.0,Malaysia,,,,2.0,2003-05-20,2003-06-23,0.0,,,5.0,2003-06-26,,,,,,,
,9.0,Mongolia,,,,0.0,2003-05-06,2003-06-02,0.0,,,9.0,2003-06-26,,,,,,,
,1.0,New Zealand,,,,0.0,2003-04-30,2003-06-25,0.0,,,1.0,2003-06-26,,,,,,,
,12.0,Philippines,,,,2.0,2003-05-15,2003-06-25,0.0,,,14.0,2003-06-26,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-03-21,2003-06-12,0.0,,,1.0,2003-06-26,,,,,,,
,3.0,Republic of Korea,,,,0.0,2003-05-14,2003-06-23,0.0,,,3.0,2003-06-26,,,,,,,
,1.0,Romania,,,,0.0,2003-03-27,2003-04-22,0.0,,,1.0,2003-06-26,,,,,,,
,0.0,Russian Federation,,,,0.0,2003-05-31,2003-05-31,0.0,,,1.0,2003-06-26,,,,,,,
,170.0,Singapore,,,,32.0,2003-05-18,2003-06-25,0.0,,,206.0,2003-06-26,,,,,,,
,0.0,South Africa,,,,1.0,2003-04-09,2003-05-03,0.0,,,1.0,2003-06-26,,,,,,,
,1.0,Spain,,,,0.0,2003-04-02,2003-06-05,0.0,,,1.0,2003-06-26,,,,,,,
,3.0,Sweden,,,,0.0,2003-04-18,2003-05-13,0.0,,,3.0,2003-06-26,,,,,,,
,1.0,Switzerland,,,,0.0,2003-03-17,2003-05-16,0.0,,,1.0,2003-06-26,,,,,,,
,7.0,Thailand,,,,2.0,2003-06-07,2003-06-25,0.0,,,9.0,2003-06-26,,,,,,,
,4.0,United Kingdom,,,,0.0,2003-04-29,2003-06-25,0.0,,,4.0,2003-06-26,,,,,,,
,36.0,United States,,,,0.0,2003-06-23,2003-06-25,0.0,,,74.0,2003-06-26,,,,,,,
,58.0,Viet Nam,,,,5.0,2003-04-14,2003-06-07,0.0,,,63.0,2003-06-26,,,,,,,
,7371.0,Total,,,,809.0,,,1.0,,,8456.0,2003-06-26,,,,,,,
,5.0,Australia,,,,0.0,2003-05-12,2003-06-27,0.0,,,5.0,2003-06-27,,,,,,,
,2.0,Brazil,,,,0.0,2003-06-09,2003-06-09,0.0,,,3.0,2003-06-27,,,,,,,
,191.0,Canada,,,,37.0,2003-06-25,2003-06-26,0.0,,,251.0,2003-06-27,,,,,,,
,4921.0,China,,,,348.0,2003-06-25,2003-06-27,0.0,,,5327.0,2003-06-27,,,,,,,
,1422.0,Hong Kong,,,,297.0,2003-06-11,2003-06-27,0.0,,,1755.0,2003-06-27,,,,,,,
,1.0,Macao,,,,0.0,2003-05-21,2003-06-23,0.0,,,1.0,2003-06-27,,,,,,,
,492.0,Taiwan,,,,84.0,2003-06-19,2003-06-27,0.0,,,681.0,2003-06-27,,,,,,,
,1.0,Colombia,,,,0.0,2003-05-05,2003-05-05,0.0,,,1.0,2003-06-27,,,,,,,
,1.0,Finland,,,,0.0,2003-05-07,2003-05-20,0.0,,,1.0,2003-06-27,,,,,,,
,6.0,France,,,,0.0,2003-05-09,2003-05-22,0.0,,,7.0,2003-06-27,,,,,,,
,9.0,Germany,,,,0.0,2003-06-04,2003-06-23,0.0,,,10.0,2003-06-27,,,,,,,
,3.0,India,,,,0.0,2003-05-13,2003-05-14,0.0,,,3.0,2003-06-27,,,,,,,
,2.0,Indonesia,,,,0.0,2003-04-23,2003-06-19,0.0,,,2.0,2003-06-27,,,,,,,
,5.0,Italy,,,,0.0,2003-04-29,2003-06-27,0.0,,,5.0,2003-06-27,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-09,2003-04-20,0.0,,,1.0,2003-06-27,,,,,,,
,3.0,Malaysia,,,,2.0,2003-05-20,2003-06-26,0.0,,,5.0,2003-06-27,,,,,,,
,9.0,Mongolia,,,,0.0,2003-05-06,2003-06-02,0.0,,,9.0,2003-06-27,,,,,,,
,1.0,New Zealand,,,,0.0,2003-04-30,2003-06-25,0.0,,,1.0,2003-06-27,,,,,,,
,12.0,Philippines,,,,2.0,2003-05-15,2003-06-26,0.0,,,14.0,2003-06-27,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-03-21,2003-06-12,0.0,,,1.0,2003-06-27,,,,,,,
,3.0,Republic of Korea,,,,0.0,2003-05-14,2003-06-23,0.0,,,3.0,2003-06-27,,,,,,,
,1.0,Romania,,,,0.0,2003-03-27,2003-04-22,0.0,,,1.0,2003-06-27,,,,,,,
,0.0,Russian Federation,,,,0.0,2003-05-31,2003-05-31,0.0,,,1.0,2003-06-27,,,,,,,
,171.0,Singapore,,,,32.0,2003-05-18,2003-06-27,0.0,,,206.0,2003-06-27,,,,,,,
,0.0,South Africa,,,,1.0,2003-04-09,2003-05-03,0.0,,,1.0,2003-06-27,,,,,,,
,1.0,Spain,,,,0.0,2003-04-02,2003-06-05,0.0,,,1.0,2003-06-27,,,,,,,
,3.0,Sweden,,,,0.0,2003-04-18,2003-05-13,0.0,,,3.0,2003-06-27,,,,,,,
,1.0,Switzerland,,,,0.0,2003-03-17,2003-05-16,0.0,,,1.0,2003-06-27,,,,,,,
,7.0,Thailand,,,,2.0,2003-06-07,2003-06-26,0.0,,,9.0,2003-06-27,,,,,,,
,4.0,United Kingdom,,,,0.0,2003-04-29,2003-06-26,0.0,,,4.0,2003-06-27,,,,,,,
,64.0,United States,,,,0.0,2003-06-23,2003-06-26,0.0,,,74.0,2003-06-27,,,,,,,
,58.0,Viet Nam,,,,5.0,2003-04-14,2003-06-07,0.0,,,63.0,2003-06-27,,,,,,,
,7401.0,Total,,,,810.0,,,0.0,,,8450.0,2003-06-27,,,,,,,
,5.0,Australia,,,,0.0,2003-05-12,2003-06-27,0.0,,,5.0,2003-06-30,,,,,,,
,2.0,Brazil,,,,0.0,2003-06-09,2003-06-09,0.0,,,3.0,2003-06-30,,,,,,,
,192.0,Canada,,,,37.0,2003-06-27,2003-06-27,1.0,,,252.0,2003-06-30,,,,,,,
,4927.0,China,,,,348.0,2003-06-25,2003-06-29,0.0,,,5327.0,2003-06-30,,,,,,,
,1429.0,Hong Kong,,,,298.0,2003-06-11,2003-06-30,0.0,,,1755.0,2003-06-30,,,,,,,
,1.0,Macao,,,,0.0,2003-05-21,2003-06-23,0.0,,,1.0,2003-06-30,,,,,,,
,495.0,Taiwan,,,,84.0,2003-06-19,2003-06-30,0.0,,,678.0,2003-06-30,,,,,,,
,1.0,Colombia,,,,0.0,2003-05-05,2003-05-05,0.0,,,1.0,2003-06-30,,,,,,,
,1.0,Finland,,,,0.0,2003-05-07,2003-05-20,0.0,,,1.0,2003-06-30,,,,,,,
,6.0,France,,,,0.0,2003-05-09,2003-05-22,0.0,,,7.0,2003-06-30,,,,,,,
,9.0,Germany,,,,0.0,2003-06-04,2003-06-23,0.0,,,10.0,2003-06-30,,,,,,,
,3.0,India,,,,0.0,2003-05-13,2003-05-14,0.0,,,3.0,2003-06-30,,,,,,,
,2.0,Indonesia,,,,0.0,2003-04-23,2003-06-19,0.0,,,2.0,2003-06-30,,,,,,,
,5.0,Italy,,,,0.0,2003-04-29,2003-06-27,0.0,,,5.0,2003-06-30,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-09,2003-04-20,0.0,,,1.0,2003-06-30,,,,,,,
,3.0,Malaysia,,,,2.0,2003-05-20,2003-06-26,0.0,,,5.0,2003-06-30,,,,,,,
,9.0,Mongolia,,,,0.0,2003-05-06,2003-06-02,0.0,,,9.0,2003-06-30,,,,,,,
,1.0,New Zealand,,,,0.0,2003-04-30,2003-06-25,0.0,,,1.0,2003-06-30,,,,,,,
,12.0,Philippines,,,,2.0,2003-05-15,2003-06-30,0.0,,,14.0,2003-06-30,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-03-21,2003-06-12,0.0,,,1.0,2003-06-30,,,,,,,
,3.0,Republic of Korea,,,,0.0,2003-05-14,2003-06-23,0.0,,,3.0,2003-06-30,,,,,,,
,1.0,Romania,,,,0.0,2003-03-27,2003-04-22,0.0,,,1.0,2003-06-30,,,,,,,
,0.0,Russian Federation,,,,0.0,2003-05-31,2003-05-31,0.0,,,1.0,2003-06-30,,,,,,,
,171.0,Singapore,,,,32.0,2003-05-18,2003-06-27,0.0,,,206.0,2003-06-30,,,,,,,
,0.0,South Africa,,,,1.0,2003-04-09,2003-05-03,0.0,,,1.0,2003-06-30,,,,,,,
,1.0,Spain,,,,0.0,2003-04-02,2003-06-05,0.0,,,1.0,2003-06-30,,,,,,,
,3.0,Sweden,,,,0.0,2003-04-18,2003-05-13,0.0,,,3.0,2003-06-30,,,,,,,
,1.0,Switzerland,,,,0.0,2003-03-17,2003-05-16,0.0,,,1.0,2003-06-30,,,,,,,
,7.0,Thailand,,,,2.0,2003-06-07,2003-06-26,0.0,,,9.0,2003-06-30,,,,,,,
,4.0,United Kingdom,,,,0.0,2003-04-29,2003-06-30,0.0,,,4.0,2003-06-30,,,,,,,
,63.0,United States,,,,0.0,2003-06-23,2003-06-27,0.0,,,73.0,2003-06-30,,,,,,,
,58.0,Viet Nam,,,,5.0,2003-04-14,2003-06-07,0.0,,,63.0,2003-06-30,,,,,,,
,7417.0,Total,,,,811.0,,,1.0,,,8447.0,2003-06-30,,,,,,,
,5.0,Australia,,,,0.0,2003-05-12,2003-06-27,0.0,,,5.0,2003-07-01,,,,,,,
,1.0,Brazil,,,,0.0,2003-06-09,2003-07-01,0.0,,,1.0,2003-07-01,,,,,,,
,192.0,Canada,,,,38.0,2003-06-27,2003-06-30,0.0,,,252.0,2003-07-01,,,,,,,
,4930.0,China,,,,348.0,2003-06-25,2003-07-01,0.0,,,5327.0,2003-07-01,,,,,,,
,1429.0,Hong Kong,,,,298.0,2003-06-11,2003-06-30,0.0,,,1755.0,2003-07-01,,,,,,,
,1.0,Macao,,,,0.0,2003-05-21,2003-06-23,0.0,,,1.0,2003-07-01,,,,,,,
,498.0,Taiwan,,,,84.0,2003-06-19,2003-07-01,0.0,,,678.0,2003-07-01,,,,,,,
,1.0,Colombia,,,,0.0,2003-05-05,2003-05-05,0.0,,,1.0,2003-07-01,,,,,,,
,1.0,Finland,,,,0.0,2003-05-07,2003-05-20,0.0,,,1.0,2003-07-01,,,,,,,
,6.0,France,,,,0.0,2003-05-09,2003-05-22,0.0,,,7.0,2003-07-01,,,,,,,
,9.0,Germany,,,,0.0,2003-06-04,2003-06-23,0.0,,,10.0,2003-07-01,,,,,,,
,3.0,India,,,,0.0,2003-05-13,2003-05-14,0.0,,,3.0,2003-07-01,,,,,,,
,2.0,Indonesia,,,,0.0,2003-04-23,2003-06-19,0.0,,,2.0,2003-07-01,,,,,,,
,5.0,Italy,,,,0.0,2003-04-29,2003-06-27,0.0,,,5.0,2003-07-01,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-09,2003-04-20,0.0,,,1.0,2003-07-01,,,,,,,
,3.0,Malaysia,,,,2.0,2003-05-20,2003-06-26,0.0,,,5.0,2003-07-01,,,,,,,
,9.0,Mongolia,,,,0.0,2003-05-06,2003-06-02,0.0,,,9.0,2003-07-01,,,,,,,
,1.0,New Zealand,,,,0.0,2003-04-30,2003-06-25,0.0,,,1.0,2003-07-01,,,,,,,
